40;kt;35;kt;30;kt;25;kt;20;kt;15;kt;10;kt;5;kt
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.31255294;9.457135458;7.60392856;6.148119836;8.19173906;3.390835848;5.310013402;17.2414594;7.444245975;22.02629277;6.897505142;25.71072646;2.806260353;18.43494882;2.971239096;45.88422832
6.96391654;10.25072893;12.09396804;7.594209395;16.75378422;11.30993247;10.38152453;17.81849827;12.54290567;25.00131768;12.33495698;29.77123299;6.17303374;29.29494472;4.763046898;54.48584264
19.16010112;10.89895611;16.89326215;10.12624794;22.91140287;13.51253064;15.19144974;19.94898583;17.19926351;25.21398874;16.79369523;38.41675697;10.10597606;41.54251319;5.821476826;68.79434506
24.31963226;12.49841977;22.09664115;13.41055753;27.1291319;15.97961419;20.12985978;21.11059299;21.71070588;27.51706848;20.11775413;47.85924592;12.21396421;59.30296175;5.615939279;83.62673756
30.66087905;13.7258807;26.94057723;14.37782074;31.88779875;19.49610768;25.32212518;22.27897528;25.33279534;34.47425783;22.14367324;59.37558375;12.79188624;78.553742;5.423452639;94.1108804
35.79931768;15.26803883;31.51150767;15.92558307;36.62339864;23.02434624;30.32392588;27.36633035;28.52658679;40.81764194;23.42812505;69.13186135;10.87203064;96.14186766;4.45237263;101.1448767
40.43676493;16.06109707;36.03602721;17.11076042;41.11226755;26.94476837;34.73410924;31.68602642;31.49388444;46.78569609;23.20484555;78.90640825;8.290944971;111.2781475;2.773660305;180
45.87905337;17.41347105;41.49760245;20.47545265;45.0985943;30.56557133;38.3994249;35.9612715;34.47894916;52.23788753;22.29527396;89.00974529;5.420148575;127.9518551;;
51.14389641;19.48010135;47.13235704;23.27522356;49.45738833;33.41625278;41.84391349;39.92363277;36.50025099;59.85470777;19.33964157;102.4514837;2.275771537;180;;
56.07611145;21.74183048;52.33353212;25.98313614;53.4583497;36.15661293;44.98087759;43.84391443;36.91695761;66.84790575;16.08075489;113.7988396;;;;
61.35895006;23.92063708;56.80200665;28.6462617;56.78908064;39.1362424;47.80855859;47.88070583;37.57069344;73.38375287;12.55906884;125.433314;;;;
66.55699745;26.00491805;60.87273517;31.20023897;59.89907925;42.08516536;50.32994526;52.19517075;37.38048222;83.1322714;7.791615786;134.2541809;;;;
71.31200286;28.00474873;65.24186714;33.3179186;62.86204086;44.99886949;52.52079536;57.04434511;35.24874097;92.1655983;2.971175261;180;;;;
75.81917084;29.89252766;69.16687348;35.47282289;65.76939612;47.83848716;54.41292792;62.30261565;32.59290786;99.82012454;;;;;;
79.9003012;31.78698106;72.6718961;37.70024748;68.41856;50.84505748;55.34683342;68.80313769;28.93716083;107.0672694;;;;;;
83.91204583;33.56247997;76.01708325;39.88251445;70.92673196;53.96730683;56.01602787;74.515613;25.60776887;114.1892579;;;;;;
